OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|TABLESPACE|COLUMNS
HUMAN_RESOURCES|CMP_TCS_CAT_UK1|CMP_TCS_CAT|Unique|Default|CAT_ID
HUMAN_RESOURCES|HWM_TCSMR_SETS_U1|HWM_TCSMR_SETS|Unique|FUSION_TS_TX_DATA|TCSMR_SET_ID, ORA_SEED_SET1
HUMAN_RESOURCES|HWM_TCSMR_SETS_U11|HWM_TCSMR_SETS|Unique|FUSION_TS_TX_DATA|TCSMR_SET_ID, ORA_SEED_SET2
HUMAN_RESOURCES|HRG_GOAL_PLANS_B_FK1|HRG_GOAL_PLANS_B|Non Unique|Default|MASS_REQUEST_ID
HUMAN_RESOURCES|HRG_GOAL_PLANS_B_N1|HRG_GOAL_PLANS_B|Non Unique|Default|START_DATE
HUMAN_RESOURCES|HRG_GOAL_PLANS_B_N2|HRG_GOAL_PLANS_B|Non Unique|Default|END_DATE
HUMAN_RESOURCES|HRG_GOAL_PLANS_B_N3|HRG_GOAL_PLANS_B|Non Unique|Default|GOAL_PLAN_TYPE_CODE
HUMAN_RESOURCES|HRG_GOAL_PLANS_B_N4|HRG_GOAL_PLANS_B|Non Unique|Default|REVIEW_PERIOD_ID
HUMAN_RESOURCES|HRG_GOAL_PLANS_B_N5|HRG_GOAL_PLANS_B|Non Unique|Default|PRIMARY_GOAL_PLAN_FLAG
HUMAN_RESOURCES|HRG_GOAL_PLANS_B_PK|HRG_GOAL_PLANS_B|Unique|Default|GOAL_PLAN_ID
HUMAN_RESOURCES|HRG_GOAL_PLANS_B_UK1|HRG_GOAL_PLANS_B|Unique|Default|GOAL_PLAN_EXT_ID
HUMAN_RESOURCES|HRG_PERF_CYCLES_TL_FK1|HRG_PERF_CYCLES_TL|Non Unique|Default|PERF_CYCLE_ID
HUMAN_RESOURCES|HRG_PERF_CYCLES_TL_N1|HRG_PERF_CYCLES_TL|Non Unique|DEFAULT|PERF_CYCLE_NAME
HUMAN_RESOURCES|HRG_PERF_CYCLES_TL_PK|HRG_PERF_CYCLES_TL|Unique|DEFAULT|PERF_CYCLE_ID, LANGUAGE
HUMAN_RESOURCES|HRC_EVT_OBJ_CONDITIONS_B_N1|HRC_EVT_OBJ_CONDITIONS_B|Non Unique|FUSION_TS_TX_DATA|SOURCE_OBJECT_ID
HUMAN_RESOURCES|HRC_EVT_OBJ_CONDITIONS_B_N20|HRC_EVT_OBJ_CONDITIONS_B|Non Unique|FUSION_TS_TX_DATA|SGUID
HUMAN_RESOURCES|HRC_EVT_OBJ_CONDITIONS_B_PK|HRC_EVT_OBJ_CONDITIONS_B|Unique|FUSION_TS_TX_DATA|OBJ_CONDITION_ID, ORA_SEED_SET1
HUMAN_RESOURCES|HRC_EVT_OBJ_CONDITIONS_B_PK1|HRC_EVT_OBJ_CONDITIONS_B|Unique|FUSION_TS_TX_DATA|OBJ_CONDITION_ID, ORA_SEED_SET2
HUMAN_RESOURCES|HRC_EVT_OBJ_CONDITIONS_B_U1|HRC_EVT_OBJ_CONDITIONS_B|Unique|FUSION_TS_TX_DATA|OBJ_CONDITION_CODE, ORA_SEED_SET1
HUMAN_RESOURCES|HRC_EVT_OBJ_CONDITIONS_B_U11|HRC_EVT_OBJ_CONDITIONS_B|Unique|FUSION_TS_TX_DATA|OBJ_CONDITION_CODE, ORA_SEED_SET2
HUMAN_RESOURCES|BEN_WORK_PATTERN_PK|BEN_WORK_PATTERN|Unique|FUSION_TS_TX_DATA|WORK_PATTERN_ID
HUMAN_RESOURCES|HRC_DL_CANDIDATE_ERR_OBJS_N1|HRC_DL_CANDIDATE_ERR_OBJS|Non Unique|Default|CANDIDATE_IMPORT_ID
HUMAN_RESOURCES|HRC_DL_CANDIDATE_ERR_OBJS_U1|HRC_DL_CANDIDATE_ERR_OBJS|Unique|Default|CANDIDATE_ERR_OBJ_ID
HUMAN_RESOURCES|IRC_REQ_LANGUAGES_FK1|IRC_REQ_LANGUAGES|Non Unique|Default|REQUISITION_ID
HUMAN_RESOURCES|IRC_REQ_LANGUAGES_PK|IRC_REQ_LANGUAGES|Unique|Default|REQ_LANGUAGE_ID
HUMAN_RESOURCES|BEN_VRBL_RT_PRFL_F_FK1|BEN_VRBL_RT_PRFL_F|Non Unique|Default|COMP_LVL_FCTR_ID
HUMAN_RESOURCES|BEN_VRBL_RT_PRFL_F_N1|BEN_VRBL_RT_PRFL_F|Non Unique|Default|OIPL_ID
HUMAN_RESOURCES|BEN_VRBL_RT_PRFL_F_N2|BEN_VRBL_RT_PRFL_F|Non Unique|Default|PL_ID
HUMAN_RESOURCES|BEN_VRBL_RT_PRFL_F_N3|BEN_VRBL_RT_PRFL_F|Non Unique|Default|PL_TYP_OPT_TYP_ID
HUMAN_RESOURCES|BEN_VRBL_RT_PRFL_F_N4|BEN_VRBL_RT_PRFL_F|Non Unique|Default|"UPPER(""NAME"")"
HUMAN_RESOURCES|BEN_VRBL_RT_PRFL_F_N5|BEN_VRBL_RT_PRFL_F|Non Unique|Default|NAME, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE
HUMAN_RESOURCES|BEN_VRBL_RT_PRFL_F_PK|BEN_VRBL_RT_PRFL_F|Unique|Default|VRBL_RT_PRFL_ID, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE
HUMAN_RESOURCES|FAI_IM_ID_FILE_MAP_PK|FAI_IM_ID_FILE_MAP|Unique|Default|ID
HUMAN_RESOURCES|CMP_CWB_INTCPT_APPR_DTLS_N1|CMP_CWB_INTCPT_APPR_DTLS|Non Unique|Default|PERIOD_ID, PLAN_ID
HUMAN_RESOURCES|CMP_CWB_INTCPT_APPR_DTLS_N2|CMP_CWB_INTCPT_APPR_DTLS|Non Unique|Default|MANAGER_ASSIGNMENT_ID
HUMAN_RESOURCES|CMP_CWB_INTCPT_APPR_DTLS_PK|CMP_CWB_INTCPT_APPR_DTLS|Unique|Default|MGR_PERSON_EVENT_ID, APPROVER_ASSIGNMENT_ID
HUMAN_RESOURCES|HRC_SUBSCRIPTION_QUEUE_N1|HRC_SUBSCRIPTION_QUEUE|Non Unique|FUSION_TS_TX_IDX|RUN_ID, QUEUEING_STATUS
HUMAN_RESOURCES|HRC_SUBSCRIPTION_QUEUE_N2|HRC_SUBSCRIPTION_QUEUE|Non Unique|FUSION_TS_TX_IDX|RUN_ID, PROCESSING_STATUS
HUMAN_RESOURCES|HRC_SUBSCRIPTION_QUEUE_N3|HRC_SUBSCRIPTION_QUEUE|Non Unique|FUSION_TS_TX_IDX|RUN_ID, ENTRY_ID
HUMAN_RESOURCES|HRC_SUBSCRIPTION_QUEUE_N4|HRC_SUBSCRIPTION_QUEUE|Non Unique|Default|RUN_ID, PARENT_MSG_ID
HUMAN_RESOURCES|HRC_SUBSCRIPTION_QUEUE_N5|HRC_SUBSCRIPTION_QUEUE|Non Unique|Default|PARENT_MSG_ID, MSG_REF_TYPE, MSG_REF_KEY
HUMAN_RESOURCES|HRC_SUBSCRIPTION_QUEUE_PK|HRC_SUBSCRIPTION_QUEUE|Unique|FUSION_TS_TX_IDX|RUN_MSG_ID
HUMAN_RESOURCES|PER_ASSIGNMENT_SUP_F_FK1|PER_ASSIGNMENT_SUPERVISORS_F|Non Unique|Default|BUSINESS_GROUP_ID
HUMAN_RESOURCES|PER_ASSIGNMENT_SUP_F_N1|PER_ASSIGNMENT_SUPERVISORS_F|Non Unique|Default|ASSIGNMENT_ID
HUMAN_RESOURCES|PER_ASSIGNMENT_SUP_F_N2|PER_ASSIGNMENT_SUPERVISORS_F|Non Unique|Default|MANAGER_ID
HUMAN_RESOURCES|PER_ASSIGNMENT_SUP_F_N3|PER_ASSIGNMENT_SUPERVISORS_F|Non Unique|Default|MANAGER_ASSIGNMENT_ID, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE
HUMAN_RESOURCES|PER_ASSIGNMENT_SUP_F_N4|PER_ASSIGNMENT_SUPERVISORS_F|Non Unique|Default|PERSON_ID, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE
HUMAN_RESOURCES|PER_ASSIGNMENT_SUP_F_N5|PER_ASSIGNMENT_SUPERVISORS_F|Non Unique|Default|LAST_UPDATE_DATE
HUMAN_RESOURCES|PER_ASSIGNMENT_SUP_F_PK|PER_ASSIGNMENT_SUPERVISORS_F|Unique|Default|ASSIGNMENT_SUPERVISOR_ID, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE
HUMAN_RESOURCES|HWR_SOC_MED_ROLE_SCORE_B_N1|HWR_SOC_MED_ROLE_SCORE_B|Non Unique|FUSION_TS_TX_DATA|FUS_PRFL_ID#01, ROLE_ID_URI, SCORE_TIMESTAMP
HUMAN_RESOURCES|HWR_SOC_MED_ROLE_SCORE_B_U1|HWR_SOC_MED_ROLE_SCORE_B|Unique|FUSION_TS_TX_DATA|FUS_PRFL_ID#01, ROLE_ID_URI, SCORE_TIMESTAMP
HUMAN_RESOURCES|ANC_PER_ACCRUAL_ENTRIES_N1_|ANC_PER_ACCRUAL_ENTRIES_|Non Unique|ANC_PER_ACCRUAL_ENTRIES_N1_|PER_ACCRUAL_ENTRY_ID
HUMAN_RESOURCES|ANC_PER_ACCRUAL_ENTRIES_U1_|ANC_PER_ACCRUAL_ENTRIES_|Unique|Default|LAST_UPDATE_DATE, LAST_UPDATED_BY, PER_ACCRUAL_ENTRY_ID
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N1|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|MANAGER_ID
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N2|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|LAST_NAME, FIRST_NAME
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N3|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|RUN_DATE
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N4|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|STATUS
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N5|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|DEPARTMENT_ID
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N6|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|LOCATION_ID
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N7|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|LEGAL_EMPLOYER_ID
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N8|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|BUSINESS_UNIT_ID
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_N9|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|JOB_ID
HUMAN_RESOURCES|PER_TALEO_IMPORT_RESULTS_PK|PER_TALEO_IMPORT_RESULTS|Unique|FUSION_TS_TX_IDX|TALEO_IMPORT_RESULT_ID
HUMAN_RESOURCES|PER_TALEO_IMP_RES_N10|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|POSITION_ID
HUMAN_RESOURCES|PER_TALEO_IMP_RES_N11|PER_TALEO_IMPORT_RESULTS|Non Unique|FUSION_TS_TX_IDX|GRADE_ID
HUMAN_RESOURCES|IRC_FOLLOWUP_TASKS_FK1|IRC_FOLLOWUP_TASKS|Non Unique|Default|COMPLETED_BY_PERSON_ID
HUMAN_RESOURCES|IRC_FOLLOWUP_TASKS_N1|IRC_FOLLOWUP_TASKS|Non Unique|Default|CONTEXT_ID, CONTEXT_TYPE, ENTITY_ID, ENTITY_TYPE, STATUS_CODE
HUMAN_RESOURCES|IRC_FOLLOWUP_TASKS_N2|IRC_FOLLOWUP_TASKS|Non Unique|Default|ENTITY_ID, ENTITY_TYPE, STATUS_CODE
HUMAN_RESOURCES|IRC_FOLLOWUP_TASKS_N3|IRC_FOLLOWUP_TASKS|Non Unique|Default|CONTEXT_TYPE
HUMAN_RESOURCES|IRC_FOLLOWUP_TASKS_N4|IRC_FOLLOWUP_TASKS|Non Unique|Default|DUE_DATE
HUMAN_RESOURCES|IRC_FOLLOWUP_TASKS_PK|IRC_FOLLOWUP_TASKS|Unique|Default|TASK_ID
HUMAN_RESOURCES|FAI_IM_AUDIT_N1|FAI_IM_AUDIT|Non Unique|Default|STEP, ENTITY_NAME, STATUS
HUMAN_RESOURCES|FAI_IM_AUDIT_PK|FAI_IM_AUDIT|Unique|Default|ID
HUMAN_RESOURCES|HRT_LANGUAGE_ITEMS_VN1_|HRT_LANGUAGE_ITEMS_V_|Non Unique|Default|LANGUAGE_ID, LAST_UPDATE_DATE
HUMAN_RESOURCES|HRT_LANGUAGE_ITEMS_V_PK_|HRT_LANGUAGE_ITEMS_V_|Unique|Default|LAST_UPDATE_DATE, LAST_UPDATED_BY, LANGUAGE_ID
HUMAN_RESOURCES|BEN_WV_PRSN_CTN_PL_F_N1|BEN_WV_PRTN_RSN_CTFN_PL_F|Non Unique|WV_PRTN_RSN_PL_ID|
