OWNER|FK_NAME|SRC_TABLE|SRC_COLUMN|TGT_TABLE|TGT_COLUMN|POSITION
FUSION|UNKNOWN_FK|ZCA_FEED_ATTRS|FEED_OBJECT_ID|zca_feed_objects|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_ATTRS|FEED_EVENT_ID|zca_feed_events|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_CONFIGS|FEED_ID|zca_feed_configs|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_DAYZERO_CONFIGS|FEED_DAYZERO_CONFIG_ATTR_ID|zca_feed_dayzero_configs|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_DAYZERO_CONFIG_VALUES|FEED_DAYZERO_CONFIG_ATTR_ID|zca_feed_dayzero_configs|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_EVENTS|FEED_OBJECT_ID|zca_feed_objects|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_EVENTS|FEED_EVENT_ID|zca_feed_events|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_OBJECTS|FEED_ID|zca_feed_configs|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_OBJECTS|FEED_OBJECT_ID|zca_feed_objects|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_FEED_OBJECTS|FEED_OBJECT_ID|zca_feed_objects|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_GOAL_HISTORY|GOAL_HISTORY_METADATA_ID|zca_goal_history_metadata|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_GOAL_HISTORY|GOAL_ID|zca_goals|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_GOAL_HISTORY_METADATA|GOAL_HISTORY_METADATA_ID|zca_goal_history_metadata|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_GOALS|GOAL_ID|zca_goals|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_IMPEXP_EXTN_GEN|IMPEXP_EXTN_GEN_ID|zca_impexp_extn_gen|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_IMPEXP_EXTN_GEN_DTLS|IMPEXP_EXTN_GEN_ID|zca_impexp_extn_gen|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_IMPORT_PROGRESS|SYSTASK_ID|mkt_cm_systasks|UNKNOWN|1
FUSION|UNKNOWN_FK|ZCA_IMPORT_PROGRESS|IMPORT_JOB_ID|mkt_imp_jobs|UNKNOWN|1
