OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|CZ_CONFIG_MESSAGES_U1|CZ_CONFIG_MESSAGES|Unique|HEADER_ID, REVISION_NUMBER, MESSAGE_ID
FUSION|CZ_CONNECTABLES_N1|CZ_CONNECTABLES|Non Unique|DELETED_FLAG, CONNECTOR_ID, PK1_VALUE, PK2_VALUE
FUSION|CZ_CONNECTABLES_U1|CZ_CONNECTABLES|Unique|CONNECTABLE_ID, START_MODEL_VERSION
FUSION|CZ_DCN_ITEM_CLASS_EVENTS_U1|CZ_DCN_ITEM_CLASS_EVENTS|Unique|ITEM_CLASS_ID, WORKSPACE_ID
FUSION|CZ_DCN_MODEL_EVENTS_U1|CZ_DCN_MODEL_EVENTS|Unique|MODEL_ID, MODEL_VERSION, WORKSPACE_ID
FUSION|CZ_DCN_UITEMPLMAP_EVENTS_U1|CZ_DCN_UITEMPLATEMAP_EVENTS|Unique|UI_TEMPLATE_MAP_ID, UI_TEMPLATE_MAP_VERSION, WORKSPACE_ID
FUSION|CZ_DCN_VALUESET_EVENTS_U1|CZ_DCN_VALUESET_EVENTS|Unique|VALUE_SET_ID, WORKSPACE_ID, ENTERPRISE_ID
FUSION|CZ_INIT_PARAMS_U1|CZ_INIT_PARAMS|Unique|PARAMETER_ID
FUSION|CZ_MODEL_NODES_B_N1|CZ_MODEL_NODES_B|Non Unique|MODEL_NODE_ID, PARENT_ID, START_MODEL_VERSION, END_MODEL_VERSION
FUSION|CZ_MODEL_NODES_B_N2|CZ_MODEL_NODES_B|Non Unique|NAME
FUSION|CZ_MODEL_NODES_B_N3|CZ_MODEL_NODES_B|Non Unique|REFERENCE_ID, MODEL_NODE_TYPE
FUSION|CZ_MODEL_NODES_B_N4|CZ_MODEL_NODES_B|Non Unique|MODEL_ID, REFERENCE_ID
FUSION|CZ_MODEL_NODES_B_N5|CZ_MODEL_NODES_B|Non Unique|PARENT_ID, REFERENCE_ID, MODEL_NODE_ID
FUSION|CZ_MODEL_NODES_B_U1|CZ_MODEL_NODES_B|Unique|MODEL_NODE_ID, START_MODEL_VERSION, DELETED_FLAG
FUSION|CZ_MODEL_NODES_B_U2|CZ_MODEL_NODES_B|Unique|MODEL_NODE_ID, START_MODEL_VERSION
FUSION|CZ_MODEL_NODES_TL_N1|CZ_MODEL_NODES_TL|Non Unique|DESCRIPTION
FUSION|CZ_MODEL_NODES_TL_PK|CZ_MODEL_NODES_TL|Unique|MODEL_NODE_ID, START_MODEL_VERSION, LANGUAGE
FUSION|CZ_MODELS_N1|CZ_MODELS|Non Unique|"TO_NUMBER(SUBSTR(""PIM_ITEM_KEY"", 1, INSTR(""PIM_ITEM_KEY"", ':') - 1)), TO_NUMBER(SUBSTR(""PIM_ITEM_KEY"", INSTR(""PIM_ITEM_KEY"", ':') + 1))"
FUSION|CZ_MODELS_N2|CZ_MODELS|Non Unique|"UPPER(""NAME"")"
FUSION|CZ_MODELS_N3|CZ_MODELS|Non Unique|"DELETED_FLAG, NVL(""PIM_ITEM_KEY"", 'NULL')"
FUSION|CZ_MODELS_U1|CZ_MODELS|Unique|MODEL_ID
FUSION|CZ_MODELS_U2|CZ_MODELS|Unique|NAME, DELETED_FLAG, PIM_ITEM_KEY
