OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|PJS_PROG_PROJ_FIN_FACT_U1|PJS_PROG_PROJ_FIN_FACT|Unique|PROJECT_ID, ENTERPRISE_PERIOD_NAME, CURRENCY_CODE, TXN_ACCUM_HEADER_ID, UNIT_OF_MEASURE, RESOURCE_CLASS_ID, SCENARIO, RBS_VERSION_ID, RBS_ELEMENT_ID
FUSION|PJS_PROG_PROJ_FINPLANS_U1|PJS_PROG_PROJ_FINPLANS|Unique|PROJECT_ID, PLAN_VERSION_ID
FUSION|PJS_PROG_PROJ_INV_FACT_U1|PJS_PROG_PROJ_INV_FACT|Unique|PROJECT_ID, ENTERPRISE_PERIOD_NAME, CURRENCY_CODE, TXN_ACCUM_HEADER_ID, RESOURCE_CLASS_ID
FUSION|PJS_PROG_PROJ_REV_FACT_U1|PJS_PROG_PROJ_REV_FACT|Unique|PROJECT_ID, ENTERPRISE_PERIOD_NAME, CURRENCY_CODE, TXN_ACCUM_HEADER_ID, RESOURCE_CLASS_ID
FUSION|PJS_PROG_PROJ_SCOPE_PROJECT_U1|PJS_PROG_PROJ_SCOPE_PROJECT|Unique|WORKER_ID, PROJECT_ID, PROGRAM_ID
FUSION|PJS_PROGRAM_DEFN_B_N1|PJS_PROGRAM_DEFN_B|Non Unique|PARENT_PROGRAM_ID, TREE_STRUCTURE_ID, PROGRAM_LEVEL
FUSION|PJS_PROGRAM_DEFN_B_N2|PJS_PROGRAM_DEFN_B|Non Unique|PROGRAM_STATUS_CODE, START_DATE, END_DATE
FUSION|PJS_PROGRAM_DEFN_B_N3|PJS_PROGRAM_DEFN_B|Non Unique|OWNING_ORGANIZATION_ID
FUSION|PJS_PROGRAM_DEFN_B_N4|PJS_PROGRAM_DEFN_B|Non Unique|LAST_UPDATE_DATE
FUSION|PJS_PROGRAM_DEFN_B_N5|PJS_PROGRAM_DEFN_B|Non Unique|LOB_CODE, STRATEGY_CODE, ASSESSMENT_CODE, REGION_CODE
FUSION|PJS_PROGRAM_DEFN_B_N6|PJS_PROGRAM_DEFN_B|Non Unique|TREE_STRUCTURE_ID
FUSION|PJS_PROGRAM_DEFN_B_U1|PJS_PROGRAM_DEFN_B|Unique|PROGRAM_ID
FUSION|PJS_PROGRAM_DEFN_B_U2|PJS_PROGRAM_DEFN_B|Unique|PROGRAM_NUMBER
FUSION|PJS_PROGRAM_DEFN_B_U3|PJS_PROGRAM_DEFN_B|Unique|"UPPER(""PROGRAM_NUMBER"")"
FUSION|PJS_PROGRAM_DEFN_CF_N1|PJS_PROGRAM_DEFN_CF|Non Unique|LAST_UPDATE_DATE
FUSION|PJS_PROGRAM_DEFN_CF_U1|PJS_PROGRAM_DEFN_CF|Unique|TREE_STRUCTURE_ID, LEVEL0_NODE_ID
