OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|PON_BID_PO_LINES_HISTORY_U2|PON_BID_PO_LINES_HISTORY|Unique|AUCTION_HEADER_ID, BID_NUMBER, SEQUENCE_NUMBER, LINE_NUMBER, REOPEN_AWARD_NUMBER
FUSION|PON_BID_PO_NUMBERS_U1|PON_BID_PO_NUMBERS|Unique|BID_NUMBER, SEQUENCE_NUMBER
FUSION|PON_BID_PO_NUMBERS_U2|PON_BID_PO_NUMBERS|Unique|AUCTION_HEADER_ID, BID_NUMBER, SEQUENCE_NUMBER
FUSION|PON_BID_PO_NUMBERS_HISTORY_U1|PON_BID_PO_NUMBERS_HISTORY|Unique|BID_NUMBER, SEQUENCE_NUMBER, REOPEN_AWARD_NUMBER
FUSION|PON_BID_PO_NUMBERS_HISTORY_U2|PON_BID_PO_NUMBERS_HISTORY|Unique|AUCTION_HEADER_ID, BID_NUMBER, SEQUENCE_NUMBER, REOPEN_AWARD_NUMBER
FUSION|PON_BID_PO_ORG_ASSIGN_N2|PON_BID_PO_ORG_ASSIGNMENTS|Non Unique|AUCTION_HEADER_ID
FUSION|PON_BID_PO_ORG_ASSIGN_U1|PON_BID_PO_ORG_ASSIGNMENTS|Unique|BID_NUMBER, PO_SEQUENCE_NUMBER, SEQUENCE_NUMBER
FUSION|PON_BID_PO_ORG_ASSIGN_U2|PON_BID_PO_ORG_ASSIGNMENTS|Unique|BID_NUMBER, PO_SEQUENCE_NUMBER, REQ_BU_ID
FUSION|PON_BID_PRICE_ELEMENTS_N1|PON_BID_PRICE_ELEMENTS|Non Unique|AUCTION_HEADER_ID, LINE_NUMBER
FUSION|PON_BID_PRICE_ELEMENTS_U1|PON_BID_PRICE_ELEMENTS|Unique|BID_NUMBER, LINE_NUMBER, PRICE_ELEMENT_TYPE_ID
FUSION|PON_BID_PRICE_ELEMENTS_U2|PON_BID_PRICE_ELEMENTS|Unique|BID_NUMBER, LINE_NUMBER, SEQUENCE_NUMBER
FUSION|PON_BID_PRICE_ELEMS_INT_N1|PON_BID_PRICE_ELEMENTS_INT|Non Unique|BATCH_ID, LINE_NUMBER, PRICE_ELEMENT_TYPE_ID
FUSION|PON_BID_PRICE_ELEMS_INT_N2|PON_BID_PRICE_ELEMENTS_INT|Non Unique|BATCH_ID, AUCTION_HEADER_ID, BID_NUMBER
FUSION|PON_BID_PRICE_ELEMS_INT_U1|PON_BID_PRICE_ELEMENTS_INT|Unique|INTERFACE_BID_PRICE_ELEM_ID
FUSION|PON_BID_REQTS_INT_U1|PON_BID_REQTS_INT|Unique|BATCH_ID, REQUIREMENT_ID
FUSION|PON_BID_REQT_VALUES_INT_U1|PON_BID_REQT_VALUES_INT|Unique|REQUIREMENT_VALUE_INTERF_ID
FUSION|PON_BID_REQUIREMENTS_N1|PON_BID_REQUIREMENTS|Non Unique|REQUIREMENT_ID
FUSION|PON_BID_REQUIREMENTS_N2|PON_BID_REQUIREMENTS|Non Unique|AUCTION_HEADER_ID
FUSION|PON_BID_REQUIREMENTS_N3|PON_BID_REQUIREMENTS|Non Unique|SECTION_ID
FUSION|PON_BID_REQUIREMENTS_U1|PON_BID_REQUIREMENTS|Unique|BID_NUMBER, REQUIREMENT_ID
FUSION|PON_BID_REQUIREMENT_VALUES_N1|PON_BID_REQUIREMENT_VALUES|Non Unique|AUCTION_HEADER_ID, BID_NUMBER
FUSION|PON_BID_REQUIREMENT_VALUES_N2|PON_BID_REQUIREMENT_VALUES|Non Unique|REQUIREMENT_ID
FUSION|PON_BID_REQUIREMENT_VALUES_N3|PON_BID_REQUIREMENT_VALUES|Non Unique|SCORE_ID
FUSION|PON_BID_REQUIREMENT_VALUES_U1|PON_BID_REQUIREMENT_VALUES|Unique|REQUIREMENT_VALUE_ID
FUSION|PON_BID_SECTIONS_N1|PON_BID_SECTIONS|Non Unique|SECTION_ID
FUSION|PON_BID_SECTIONS_N2|PON_BID_SECTIONS|Non Unique|AUCTION_HEADER_ID
FUSION|PON_BID_SECTIONS_U1|PON_BID_SECTIONS|Unique|BID_NUMBER, SECTION_ID
FUSION|PON_BID_SHIPMENTS_U1|PON_BID_SHIPMENTS|Unique|BID_NUMBER, LINE_NUMBER, SHIPMENT_NUMBER
FUSION|PON_BID_SHIPMENTS_INT_N1|PON_BID_SHIPMENTS_INT|Non Unique|BATCH_ID, LINE_NUMBER, AUCTION_SHIPMENT_NUMBER
FUSION|PON_BID_SHIPMENTS_INT_N2|PON_BID_SHIPMENTS_INT|Non Unique|BATCH_ID, LINE_NUMBER, BID_SHIPMENT_NUMBER, INTERFACE_LINE_ID
FUSION|PON_BID_SHIPMENTS_INT_N3|PON_BID_SHIPMENTS_INT|Non Unique|BATCH_ID, AUCTION_HEADER_ID, BID_NUMBER
FUSION|pon_bid_shipments_int_U1|PON_BID_SHIPMENTS_INT|Unique|INTERFACE_BID_SHIPMENT_ID
FUSION|PON_BUYER_ACTIVITIES_U1|PON_BUYER_ACTIVITIES|Unique|AUCTION_HEADER_ID, ACTIVITY_CODE, NEG_TEAM_MEMBER_ID
FUSION|PON_DOCTYPE_STYLES_B_U1|PON_DOCTYPE_STYLES_B|Unique|DOCTYPE_ID, STYLE_ID, ORA_SEED_SET1
FUSION|PON_DOCTYPE_STYLES_B_U11|PON_DOCTYPE_STYLES_B|Unique|DOCTYPE_ID, STYLE_ID, ORA_SEED_SET2
FUSION|PON_DOCTYPE_STYLES_TL_N1|PON_DOCTYPE_STYLES_TL|Non Unique|LAST_UPDATE_DATE
FUSION|PON_DOCTYPE_STYLES_TL_U1|PON_DOCTYPE_STYLES_TL|Unique|DOCTYPE_ID, STYLE_ID, LANGUAGE, ORA_SEED_SET1
FUSION|PON_DOCTYPE_STYLES_TL_U11|PON_DOCTYPE_STYLES_TL|Unique|DOCTYPE_ID, STYLE_ID, LANGUAGE, ORA_SEED_SET2
FUSION|PON_FBDI_ERRORS_INT_N1|PON_FBDI_ERRORS_INT|Non Unique|REQUEST_ID
FUSION|PON_FBDI_ERRORS_INT_N2|PON_FBDI_ERRORS_INT|Non Unique|INTERFACE_LINE_CF_ID
FUSION|PON_FBDI_ERRORS_INT_N3|PON_FBDI_ERRORS_INT|Non Unique|INTERFACE_LINE_ID
FUSION|PON_FBDI_ERRORS_INT_U1|PON_FBDI_ERRORS_INT|Unique|INTERFACE_ERROR_ID
FUSION|PON_INTERFACE_ERRORS_N1|PON_INTERFACE_ERRORS|Non Unique|BATCH_ID
FUSION|PON_INTERFACE_ERRORS_N2|PON_INTERFACE_ERRORS|Non Unique|REQUEST_ID
FUSION|PON_INTERFACE_ERRORS_N3|PON_INTERFACE_ERRORS|Non Unique|BID_NUMBER
FUSION|PON_IOT_CONFIGURATION_U1|PON_IOT_CONFIGURATION|Unique|CONFIG_ID
FUSION|PON_IOT_HEADER_SUPP_RECOMM_N1|PON_IOT_HEADER_SUPP_RECOMM|Non Unique|AUCTION_HEADER_ID
FUSION|PON_IOT_HEADER_SUPP_RECOMM_U1|PON_IOT_HEADER_SUPP_RECOMM|Unique|HEADER_SUPP_RECOMM_ID
FUSION|PON_IOT_LEARNING_RUNS_U1|PON_IOT_LEARNING_RUNS|Unique|RUN_ID
FUSION|PON_IOT_LINE_SUPP_RECOMM_N1|PON_IOT_LINE_SUPP_RECOMM|Non Unique|AUCTION_HEADER_ID, LINE_NUMBER
FUSION|PON_IOT_LINE_SUPP_RECOMM_U1|PON_IOT_LINE_SUPP_RECOMM|Unique|LINE_SUPP_RECOMM_ID
FUSION|PON_IOT_SCORING_REQ_TRAIL_N1|PON_IOT_SCORING_REQ_TRAIL|Non Unique|AUCTION_HEADER_ID
FUSION|PON_IOT_SCORING_REQ_TRAIL_U1|PON_IOT_SCORING_REQ_TRAIL|Unique|SCORING_REQUEST_ID
FUSION|pon_iot_supp_trans_ext_N1|PON_IOT_SUPP_TRANS_EXT|Non Unique|SUPPLIER_ID, SUPPLIER_SITE_ID
FUSION|pon_iot_supp_trans_ext_N2|PON_IOT_SUPP_TRANS_EXT|Non Unique|ITEM_ID, CATEGORY_ID
FUSION|pon_iot_supp_trans_ext_U1|PON_IOT_SUPP_TRANS_EXT|Unique|SUPPLIER_TRANSACTION_ID
FUSION|PON_ITEM_PRICES_INT_N1|PON_ITEM_PRICES_INTERFACE|Non Unique|BATCH_ID, CATEGORY_NAME
FUSION|PON_ITEM_PRICES_INT_N2|PON_ITEM_PRICES_INTERFACE|Non Unique|BATCH_ID, ITEM_DESCRIPTION
FUSION|PON_ITEM_PRICES_INT_N3|PON_ITEM_PRICES_INTERFACE|Non Unique|BATCH_ID, UNIT_OF_MEASURE
FUSION|PON_ITEM_PRICES_INT_N4|PON_ITEM_PRICES_INTERFACE|Non Unique|BATCH_ID, ACTION
FUSION|PON_ITEM_PRICES_INT_N6|PON_ITEM_PRICES_INTERFACE|Non Unique|BATCH_ID, SHIP_TO_LOCATION_ID, SHIP_TO_LOCATION
FUSION|PON_ITEM_PRICES_INT_U1|PON_ITEM_PRICES_INTERFACE|Unique|BATCH_ID, INTERFACE_LINE_ID
FUSION|PON_JOB_MONITORING_N1|PON_JOB_MONITORING|Non Unique|BID_NUMBER
FUSION|PON_JOB_MONITORING_U1|PON_JOB_MONITORING|Unique|JOB_MONITORING_ID
FUSION|PON_LINE_COST_FACTORS_INT_N1|PON_LINE_COST_FACTORS_INT|Non Unique|REQUEST_ID, CHUNK_ID, IMPORT_ACTION
FUSION|PON_LINE_COST_FACTORS_INT_N2|PON_LINE_COST_FACTORS_INT|Non Unique|REQUEST_ID, IMPORT_STATUS
FUSION|PON_LINE_COST_FACTORS_INT_U1|PON_LINE_COST_FACTORS_INT|Unique|INTERFACE_LINE_CF_ID
FUSION|PON_LINE_ICF_SUMMARY_U1|PON_LINE_ICF_SUMMARY|Unique|SUPPLIER_LINE_ICF_SUMMARY_ID
FUSION|PON_LINE_ICF_SUMMARY_U2|PON_LINE_ICF_SUMMARY|Unique|AUCTION_HEADER_ID, LINE_NUMBER, SUPPLIER_SEQUENCE
FUSION|PON_LINE_PRICE_TIERS_INT_N1|PON_LINE_PRICE_TIERS_INT|Non Unique|REQUEST_ID, CHUNK_ID, IMPORT_ACTION
FUSION|PON_LINE_PRICE_TIERS_INT_N2|PON_LINE_PRICE_TIERS_INT|Non Unique|REQUEST_ID, IMPORT_STATUS
FUSION|PON_LINE_PRICE_TIERS_INT_U1|PON_LINE_PRICE_TIERS_INT|Unique|INTERFACE_LINE_PT_ID
FUSION|PON_LINES_INT_N1|PON_LINES_INT|Non Unique|REQUEST_ID, CHUNK_ID, IMPORT_ACTION
FUSION|PON_LINES_INT_N2|PON_LINES_INT|Non Unique|REQUEST_ID, IMPORT_STATUS
FUSION|PON_LINES_INT_U1|PON_LINES_INT|Unique|INTERFACE_LINE_ID
FUSION|PON_LIST_PRICE_ELEMENTS_U1|PON_LIST_PRICE_ELEMENTS|Unique|LIST_ID, SEQUENCE_NUMBER
FUSION|PON_NEG_ABSTRACT_CONFIG_U1|PON_NEG_ABSTRACT_CONFIG|Unique|PRC_BU_ID
