OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|MOW_RUNTIME_CONFIG_VALUES_PK|MOW_RUNTIME_CONFIG_VALUES|Unique|RUNTIME_CONFIG_ID
FUSION|MOW_RUNTIME_CONFIG_VALUES_U1|MOW_RUNTIME_CONFIG_VALUES|Unique|OWNER_MODULE, KEY
FUSION|MOW_SELECTED_ACT_TEMPLATES_F1|MOW_SELECTED_ACT_TEMPLATES|Non Unique|ASSESSMENT_ID
FUSION|MOW_SELECTED_ACT_TEMPLATES_PK|MOW_SELECTED_ACT_TEMPLATES|Unique|SELECTED_ACT_TEMPLATE_ID
FUSION|MOW_SELECTED_ACT_TEMPLATES_U1|MOW_SELECTED_ACT_TEMPLATES|Unique|NAME, CONFLICT_ID
FUSION|MOW_SUGGESTED_ACT_TEMPLS_U1|MOW_SUGGESTED_ACT_TEMPLS_B|Unique|SUGGESTED_ACT_TEMPLATE_ID
FUSION|MOW_SUGGESTED_ACT_TEMPLS_U2|MOW_SUGGESTED_ACT_TEMPLS_B|Unique|SUGGESTED_ACT_TEMPLATE_NUMBER
FUSION|MOW_SUGGESTED_ACT_TEMPL_B_F1|MOW_SUGGESTED_ACT_TEMPLS_B|Non Unique|ASSESS_TEMPLATE_ID
FUSION|MOW_SUGGESTED_ACT_TEMPL_B_F2|MOW_SUGGESTED_ACT_TEMPLS_B|Non Unique|ACTIVITY_TEMPLATE_ID
FUSION|MOW_SUGGESTED_ACT_TEMPLS_TL_F1|MOW_SUGGESTED_ACT_TEMPLS_TL|Non Unique|SUGGESTED_ACT_TEMPLATE_ID
FUSION|MOW_SUGGESTED_ACT_TEMPLS_TL_PK|MOW_SUGGESTED_ACT_TEMPLS_TL|Unique|SUGGESTED_ACT_TEMPLATE_ID, LANGUAGE
FUSION|MOW_WORKOBJ_CANDOBJ_RELS_PK|MOW_WORKOBJ_CANDOBJ_RELS|Unique|WORKOBJ_CANDOBJ_REL_GUID, ORA_SEED_SET1
FUSION|MOW_WORKOBJ_CANDOBJ_RELS_PK1|MOW_WORKOBJ_CANDOBJ_RELS|Unique|WORKOBJ_CANDOBJ_REL_GUID, ORA_SEED_SET2
FUSION|MOW_WORKOBJ_CANDOBJ_RELS_U1|MOW_WORKOBJ_CANDOBJ_RELS|Unique|WORK_OBJECT_GUID, CANDIDATE_OBJECT_GUID, ASSIGNMENT_MODE, RECORD_STATUS, ORA_SEED_SET1
FUSION|MOW_WORKOBJ_CANDOBJ_RELS_U11|MOW_WORKOBJ_CANDOBJ_RELS|Unique|WORK_OBJECT_GUID, CANDIDATE_OBJECT_GUID, ASSIGNMENT_MODE, RECORD_STATUS, ORA_SEED_SET2
FUSION|OKC_ALLOWED_TMPL_USAGES_N1|OKC_ALLOWED_TMPL_USAGES|Non Unique|DOCUMENT_TYPE
FUSION|OKC_ALLOWED_TMPL_USAGES_N2|OKC_ALLOWED_TMPL_USAGES|Non Unique|CONTRACT_TYPE_ID
FUSION|OKC_ALLOWED_TMPL_USAGES_U1|OKC_ALLOWED_TMPL_USAGES|Unique|TEMPLATE_ID, DOCUMENT_TYPE, CONTRACT_TYPE_ID
FUSION|OKC_ALLOWED_TMPL_USAGES_U2|OKC_ALLOWED_TMPL_USAGES|Unique|ALLOWED_TMPL_USAGES_ID
